Teams;Elo Rating
Žalgiris;121.95085183314418
H. Ramat Gan;0
Kukës;0.0
Tottenham;1051.6595284841676
Chikhura;0
Chornomorets Odesa;81.60010793806549
Pandurii;0
Austria Wien;498.34934768614534
Željezničar;0
TNS;0
Zwolle;2.78780824110342
Jelgava;0
Metalurg Skopje;0
Olexandriya;0
Fiorentina;253.03889568033736
Barcelona;985.2894723013023
Midtjylland;-16.230639209274596
Sampdoria;1.0393999999999999
Minsk;0
Brommapojkarna;0
Sarajevo;0
Strømsgodset;0
AZ;176.15456715274956
Mladá Boleslav;0
Mariehamn;0
Śląsk;99.77475590448124
LOSC;0
København;128.73053322485856
Panionios;0
Leicester;773.805774925858
PSV;902.7930110763089
Anji;187.4658143896517
Leipzig;512.2077004308035
Dila;0
CFR Cluj;0
Konyaspor;47.954158809956915
Thun;83.61408915570146
Apollon;0
Ferencváros;62.927603867987564
Dinamo Moskva;435.63221065493667
Feyenoord;323.9633410074674
Asteras;94.31686694868412
Levadia;4.230206776437288
APOEL;248.4973845244322
B36;0
Genk;404.16347226307977
