Club;Score
Milsami;0.00665675
Olimpik Donetsk;0.00000000
Nordsjælland;0.00007735
Brøndby;0.00153656
Metalist;0.00326894
Fola;0.00082904
Sion;0.00703309
Admira;0.00000000
H. Kiryat Shmona;0.00000000
Budućnost Podgorica;0.00065662
Internazionale;0.01747245
Tre Penne;0.00007620
Lyon;0.06187208
Ermis;0.00000000
Porto;0.11283358
Dnipro;0.04028114
Žilina;0.00570951
Zimbru;0.00216994
Arka;0.00084552
Vardar;0.01244909
Dinamo Zagreb;0.02867083
Estoril;0.00629595
FH;0.00120026
PAOK;0.03739638
Guingamp;0.00850437
Schalke;0.08481754
Nice;0.01081999
Europa;0.00007597
Metalurh Donetsk;0.00002723
FCSB;0.03791796
Omonia;0.00053100
Jablonec;0.00465483
Aberdeen;0.00157982
Lokeren;0.00280542
Birkirkara;0.00097900
Cork;-0.00000000
Leverkusen;0.11819442
Galatasaray;0.04693995
Karabükspor;0.00219650
Everton;0.01602443
FCI;0.00000000
Celta;0.01671293
Hajduk Split;0.00418018
Rabotnicki;0.00164245
Cliftonville;0.00006218
Groningen;0.00081867
Lusitans;-0.00000000
Trepça’89;0.00000000
Flora;0.00018502
Vorskla;0.00033019
Stjarnan;0.00014545
Gent;0.02637942
Lyngby;-0.00000000
Betis;0.01381175
Mainz;0.00433423
Sligo;-0.00000000
SJK;0.00065935
Vikingur;0.00003471
Dinamo Tbilisi;0.00115855
Partizan;0.02270813
Freiburg;0.00187153
Sūduva;0.00207435
Botev Plovdiv;0.00006135
Chelsea;0.12753111
Grasshoppers;0.00473691
Lincoln Red Imps;0.00319932
Sturm;0.00148434
Liberec;0.01694037
Sporting CP;0.07324357
Trabzonspor;0.01198579
Grödig;0.00012549
M. Tel-Aviv;0.03220393
Trakai;-0.00000000
Spartak Moskva;0.01597177
CSKA Moskva;0.08229636
KR;0.00000000
Lokomotiva Zagreb;0.00053196
Universitatea Craiova;-0.00000000
Samtredia;0.00000000
Breidablik;0.00007116
Villarreal;0.06877113
Spartak Trnava;0.00280955
Zorya;0.00685661
SønderjyskE;0.00094083
Odd;0.00098373
Crusaders;0.00085098
Zagłębie;0.00002720
Sparta Praha;0.03250983
Vidi;0.00223288
AIK;0.00032882
St Gallen;0.00203111
Molde;0.02585955
Hertha;0.00211568
Trenčín;0.00534139
Ajax;0.06984472
Lech;0.00503028
H. Tel-Aviv;0.00000000
Nacional;-0.00000000
Bursaspor;0.00000000
Rubin;0.01119864
Braga;0.01137179
Twente;0.00285836
Paços Ferreira;0.00190800
Osijek;0.00391694
Valencia;0.04455455
Elfsborg;0.00267493
Kairat;0.00042588
FC Santa Coloma;0.00013438
Ludogorets;0.05063860
Zulte Waregem;0.00835914
Shkëndija;-0.00000000
St Johnstone;0.00008124
Rijeka;0.01853316
Norrköping;0.00119404
Osmanlıspor;0.01352605
West Ham;0.00118897
Skënderbeu;0.01372553
Alashkert;0.00071616
Liepāja;-0.00000000
Marítimo;0.00158393
Dundalk;0.00606764
Qarabağ;0.04942572
Atalanta;0.01250859
Wolfsberg;-0.00000000
Rapid Wien;0.02642835
Žalgiris;0.00490931
H. Ramat Gan;0.00018205
Kukës;0.00047094
Tottenham;0.12725840
Chikhura;0.00000000
Chornomorets Odesa;0.01038868
Pandurii;0.00076799
Austria Wien;0.02391969
Željezničar;-0.00000000
TNS;0.00131359
Zwolle;0.00094005
Jelgava;0.00000000
Metalurg Skopje;-0.00000000
Olexandriya;0.00238596
Fiorentina;0.06444895
Barcelona;0.30746836
Midtjylland;0.01462034
Sampdoria;0.00010394
Minsk;0.00000470
Brommapojkarna;0.00000000
Sarajevo;0.00006396
Strømsgodset;0.00000000
AZ;0.01846780
Mladá Boleslav;0.00000000
Mariehamn;0.00000000
Śląsk;0.00068557
LOSC;0.00439145
København;0.04556730
Panionios;-0.00000000
Leicester;0.03045910
PSV;0.04381058
Anji;0.00316422
Leipzig;0.03146283
Dila;0.00048349
CFR Cluj;-0.00000000
Konyaspor;0.00311434
Thun;0.00379437
Apollon;0.01017611
Ferencváros;0.00004561
Dinamo Moskva;0.01529052
Feyenoord;0.02695676
Asteras;0.01262535
Levadia;0.00098926
APOEL;0.04273854
B36;-0.00000000
Genk;0.01773666
